date,call_wall,large_gamma_1,large_gamma_3,zero_gamma,put_wall
20260625,7669.0,7754.0,7244.0,7476.0,7244.0
20260626,7679.0,7679.0,7429.0,7387.0,7129.0
20260629,7508.5,7508.5,7458.5,7494.5,6708.5
20260630,7520.6,7570.6,7500.6,7488.6,7070.6
20260701,7533.1,7603.1,7533.1,7499.1,7133.1
20260702,7558.5,7608.5,7548.5,7528.5,7058.5
20260706,7594.5,7594.5,7549.5,7552.5,7374.5
20260707,7591.1,7656.1,7591.1,7558.1,7241.1
20260708,7540.6,7540.6,7490.6,7488.6,7315.6
20260709,7560.3,7585.3,7560.3,7539.3,7285.3
20260710,7589.4,7664.4,7589.4,7552.4,7214.4
